Train loss,Val loss,Train class accuracy,Train No object accuracy,Train object accuracy,Val class accuracy,Val No object accuracy,Val object accuracy,mAP
0.937788196,3.052231993,98.3936,99.9426,91.7671,86.7314,99.9527,74.4337,0.6643
0.854685231,2.64714207,98.9837,99.9434,93.2927,87.7358,99.9574,76.4151,0.7018
0.814940039,2.755893469,98.6748,99.9403,93.0683,88.4735,99.9492,73.8318,0.7383
0.730736587,2.963875702,98.494,99.9385,92.3695,86.0317,99.953,73.0159,0.6865
0.796797967,2.845478671,98.6789,99.9563,86.8902,88.8889,99.9664,65.7407,0.6451
0.93637462,2.563410878,97.7574,99.9359,90.8257,88.141,99.9505,71.1538,0.7317
1.026176022,2.749543599,98.7879,99.9412,89.0909,86.7284,99.9525,71.9136,0.6978
0.830838903,3.002111418,98.369,99.9484,91.947,86.9281,99.9561,77.451,0.7163
0.861892205,3.032078079,97.006,99.9406,88.2236,86.3492,99.9561,69.2064,0.6506
0.90901818,2.798223478,98.364,99.9421,91.411,88.162,99.9508,72.8972,0.7189
0.733745089,2.939135756,98.1651,99.9512,89.9083,89.2966,99.9644,71.2538,0.6805
0.769166435,2.867532662,98.9868,99.9375,92.7052,87.7358,99.9553,71.6981,0.78
0.792231762,2.647834608,98.2402,99.9528,91.3044,88.685,99.9573,72.7829,0.7374
0.761815611,2.358927556,97.3658,99.9458,90.6788,87.1069,99.9623,67.2956,0.592
0.809383395,3.327732427,96.576,99.9545,88.6203,85.1515,99.9676,60.9091,0.6699
0.825444542,3.218750886,96.9789,99.9436,91.4401,87.9085,99.9532,73.8562,0.6158
